rice
egg
pasta
flour
bread
baking powder
baking soda
bread  crumbs
cornstarch
rolled oats
noodle
flour tortillas
pancake mix
yeast
cracker
quinoa
brown rice
cornmeal
self rising flour
cake mix
saltines
